,Soil humidity ,Air humidity (%),Air temperature (C),Motor
0,67.92,55.04,19.52,0
1,67.89,55.17,19.49,0
2,67.86,55.3,19.47,0
3,67.84,54.2,19.54,0
4,67.81,53.09,19.61,0
5,67.78,51.91,19.67,0
6,67.76,50.72,19.74,0
7,67.73,49.54,19.8,0
8,67.7,47.7,19.91,0
9,67.68,45.86,20.02,0
10,67.65,44.76,20.1,0
11,67.62,43.67,20.19,0
12,67.59,42.56,20.3,0
13,67.57,41.44,20.41,0
14,67.54,41.58,20.41,0
15,67.51,41.71,20.41,0
16,67.49,40.34,20.61,0
17,67.46,38.96,20.81,0
18,67.43,37.33,20.93,0
19,67.41,35.69,21.06,0
20,67.38,34.06,21.18,0
21,67.35,32.42,21.3,0
22,67.32,31.07,21.35,0
23,67.3,29.72,21.4,0
24,67.27,28.38,21.44,0
25,67.24,27.03,21.49,0
26,67.22,26.62,21.56,0
27,67.19,26.22,21.62,0
28,67.16,25.72,21.66,0
29,67.14,25.21,21.69,0
30,67.11,25.8,21.48,0
31,67.08,26.39,21.28,0
32,67.05,25.53,21.3,0
33,67.03,24.67,21.32,0
34,67,24.32,21.28,0
35,66.97,23.96,21.24,0
36,66.94,23.81,21.2,0
37,66.92,23.66,21.16,0
38,66.89,23.5,21.13,0
39,66.86,23.35,21.09,0
40,66.83,23.09,21.1,0
41,66.81,22.84,21.11,0
42,66.78,22.58,21.12,0
43,66.75,22.32,21.13,0
44,66.72,22.58,20.94,0
45,66.69,22.83,20.76,0
46,66.67,23.4,20.56,0
47,66.64,23.97,20.36,0
48,66.61,24.54,20.15,0
49,66.58,25.11,19.95,0
50,66.56,26.29,19.71,0
51,66.53,27.47,19.47,0
52,66.5,27.99,19.32,0
53,66.47,28.51,19.18,0
54,66.44,28.64,19.21,0
55,66.42,28.77,19.24,0
56,66.39,29.56,19.17,0
57,66.36,30.36,19.1,0
58,66.33,31.01,19.02,0
59,66.31,31.66,18.93,0
60,66.28,31.96,18.74,0
61,66.25,32.25,18.55,0
62,66.22,31.86,18.63,0
63,66.19,31.47,18.71,0
64,66.17,30.63,18.87,0
65,66.14,29.79,19.03,0
66,66.11,29.64,19.02,0
67,66.08,29.5,19,0
68,66.06,29.16,19.04,0
69,66.03,28.81,19.07,0
70,66,28.47,19.11,0
71,65.97,28.2,19.11,0
72,65.94,27.92,19.1,0
73,65.92,27.65,19.1,0
74,65.89,27.38,19.1,0
75,65.86,27.66,18.87,0
76,65.83,27.93,18.64,0
77,65.81,28.11,18.48,0
78,65.78,28.29,18.31,0
79,65.75,27.32,18.46,0
80,65.72,26.36,18.62,0
81,65.69,25.4,18.72,0
82,65.67,24.45,18.81,0
83,65.64,23.14,19.04,0
84,65.61,21.83,19.27,0
85,65.58,21.06,19.36,0
86,65.56,20.29,19.45,0
87,65.53,20.58,19.42,0
88,65.5,20.88,19.38,0
89,65.47,21.33,19.33,0
90,65.44,21.78,19.28,0
91,65.42,22.22,19.24,0
92,65.39,22.67,19.19,0
93,65.36,22.7,19.26,0
94,65.33,22.74,19.32,0
95,65.31,22.42,19.6,0
96,65.28,22.11,19.89,0
97,65.25,22.04,20.28,0
98,65.22,21.97,20.68,0
99,65.19,21.44,21.21,0
100,65.17,20.9,21.74,0
101,65.14,20.58,22.44,0
102,65.11,20.27,23.13,0
103,65.08,19.5,23.76,0
104,65.06,18.73,24.4,0
105,65.03,17.96,25.04,0
106,65,17.2,25.67,0
107,64.97,16.43,26.3,0
108,64.94,15.66,26.94,0
109,64.92,14.2,27.38,0
110,64.89,12.75,27.83,0
111,64.86,12.24,28.14,0
112,64.83,11.74,28.46,0
113,64.81,11.29,28.94,0
114,64.78,10.84,29.42,0
115,64.75,10.43,29.82,0
116,64.72,10.02,30.22,0
117,64.69,9.84,30.54,0
